Date,Deaths,ObjectId
1583384400000,1,28498
1583470800000,1,28499
1583816400000,1,28500
1584162000000,2,28501
1584248400000,1,28502
1584421200000,3,28503
1584507600000,1,28504
1584594000000,2,28505
1584680400000,2,28506
1584766800000,7,28507
1584853200000,3,28508
1584939600000,5,28509
1585026000000,14,28510
1585112400000,20,28511
1585198800000,13,28512
1585285200000,18,28513
1585371600000,12,28514
1585458000000,19,28515
1585544400000,22,28516
1585630800000,31,28517
1585717200000,31,28518
1585803600000,36,28519
1585890000000,30,28520
1585976400000,34,28521
1586062800000,43,28522
1586149200000,44,28523
1586235600000,44,28524
1586322000000,44,28525
1586408400000,39,28526
1586494800000,40,28527
1586581200000,41,28528
1586667600000,36,28529
1586754000000,45,28530
1586840400000,49,28531
1586926800000,42,28532
1587013200000,43,28533
1587099600000,56,28534
1587186000000,39,28535
1587272400000,51,28536
1587358800000,50,28537
1587445200000,47,28538
1587531600000,44,28539
1587618000000,52,28540
1587704400000,39,28541
1587790800000,41,28542
1587877200000,50,28543
1587963600000,42,28544
1588050000000,54,28545
1588136400000,45,28546
1588222800000,52,28547
1588309200000,51,28548
1588395600000,30,28549
1588482000000,41,28550
1588568400000,63,28551
1588654800000,39,28552
1588741200000,49,28553
1588827600000,42,28554
1588914000000,34,28555
1589000400000,32,28556
1589086800000,38,28557
1589173200000,45,28558
1589259600000,43,28559
1589346000000,39,28560
1589432400000,45,28561
1589518800000,34,28562
1589605200000,37,28563
1589691600000,42,28564
1589778000000,24,28565
1589864400000,38,28566
1589950800000,40,28567
1590037200000,38,28568
1590123600000,38,28569
1590210000000,41,28570
1590296400000,37,28571
1590382800000,36,28572
1590469200000,24,28573
1590555600000,41,28574
1590642000000,40,28575
1590728400000,29,28576
1590814800000,37,28577
1590901200000,35,28578
1590987600000,32,28579
1591074000000,41,28580
1591160400000,40,28581
1591246800000,25,28582
1591333200000,30,28583
1591419600000,33,28584
1591506000000,30,28585
1591592400000,25,28586
1591678800000,32,28587
1591765200000,28,28588
1591851600000,31,28589
1591938000000,38,28590
1592024400000,26,28591
1592110800000,32,28592
1592197200000,31,28593
1592283600000,46,28594
1592370000000,32,28595
1592456400000,33,28596
1592542800000,27,28597
1592629200000,41,28598
1592715600000,37,28599
1592802000000,56,28600
1592888400000,58,28601
1592974800000,41,28602
1593061200000,52,28603
1593147600000,46,28604
1593234000000,53,28605
1593320400000,53,28606
1593406800000,51,28607
1593493200000,52,28608
1593579600000,72,28609
1593666000000,79,28610
1593752400000,77,28611
1593838800000,88,28612
1593925200000,79,28613
1594011600000,106,28614
1594098000000,105,28615
1594184400000,137,28616
1594270800000,129,28617
1594357200000,124,28618
1594443600000,147,28619
1594530000000,151,28620
1594616400000,171,28621
1594702800000,164,28622
1594789200000,176,28623
1594875600000,200,28624
1594962000000,194,28625
1595048400000,180,28626
1595134800000,204,28627
1595221200000,203,28628
1595307600000,213,28629
1595394000000,201,28630
1595480400000,225,28631
1595566800000,226,28632
1595653200000,221,28633
1595739600000,211,28634
1595826000000,203,28635
1595912400000,223,28636
1595998800000,221,28637
1596085200000,235,28638
1596171600000,232,28639
1596258000000,224,28640
1596344400000,198,28641
1596430800000,217,28642
1596517200000,237,28643
1596603600000,230,28644
1596690000000,213,28645
1596776400000,206,28646
1596862800000,158,28647
1596949200000,171,28648
1597035600000,182,28649
1597122000000,187,28650
1597208400000,180,28651
1597294800000,178,28652
1597381200000,158,28653
1597467600000,174,28654
1597554000000,129,28655
1597640400000,137,28656
1597726800000,147,28657
1597813200000,158,28658
1597899600000,140,28659
1597986000000,144,28660
1598072400000,119,28661
1598158800000,112,28662
1598245200000,91,28663
1598331600000,117,28664
1598418000000,128,28665
1598504400000,92,28666
1598590800000,119,28667
1598677200000,98,28668
1598763600000,84,28669
1598850000000,95,28670
1598936400000,95,28671
1599022800000,89,28672
1599109200000,86,28673
1599195600000,97,28674
1599282000000,85,28675
1599368400000,95,28676
1599454800000,83,28677
1599541200000,72,28678
1599627600000,85,28679
1599714000000,66,28680
1599800400000,71,28681
1599886800000,45,28682
1599973200000,60,28683
1600059600000,63,28684
1600146000000,67,28685
1600232400000,59,28686
1600318800000,48,28687
1600405200000,54,28688
1600491600000,57,28689
1600578000000,49,28690
1600664400000,59,28691
1600750800000,62,28692
1600837200000,65,28693
1600923600000,44,28694
1601010000000,63,28695
1601096400000,56,28696
1601182800000,47,28697
1601269200000,42,28698
1601355600000,47,28699
1601442000000,40,28700
1601528400000,48,28701
1601614800000,52,28702
1601701200000,37,28703
1601787600000,46,28704
1601874000000,35,28705
1601960400000,52,28706
1602046800000,66,28707
1602133200000,37,28708
1602219600000,40,28709
1602306000000,38,28710
1602392400000,49,28711
1602478800000,36,28712
1602565200000,31,28713
1602651600000,40,28714
1602738000000,27,28715
1602824400000,34,28716
1602910800000,36,28717
1602997200000,37,28718
1603083600000,26,28719
1603170000000,22,28720
1603256400000,27,28721
1603342800000,19,28722
1603429200000,21,28723
1603515600000,8,28724
1603602000000,12,28725
1603688400000,15,28726
1603774800000,9,28727
1603861200000,11,28728
1603947600000,3,28729
