Date,Deaths,ObjectId
1583384400000,1,15460
1583470800000,1,15461
1583816400000,1,15462
1584162000000,2,15463
1584248400000,1,15464
1584421200000,3,15465
1584507600000,1,15466
1584594000000,2,15467
1584680400000,2,15468
1584766800000,7,15469
1584853200000,3,15470
1584939600000,5,15471
1585026000000,14,15472
1585112400000,20,15473
1585198800000,13,15474
1585285200000,18,15475
1585371600000,12,15476
1585458000000,19,15477
1585544400000,22,15478
1585630800000,31,15479
1585717200000,31,15480
1585803600000,35,15481
1585890000000,30,15482
1585976400000,35,15483
1586062800000,43,15484
1586149200000,44,15485
1586235600000,45,15486
1586322000000,43,15487
1586408400000,39,15488
1586494800000,41,15489
1586581200000,41,15490
1586667600000,36,15491
1586754000000,45,15492
1586840400000,49,15493
1586926800000,42,15494
1587013200000,43,15495
1587099600000,56,15496
1587186000000,39,15497
1587272400000,51,15498
1587358800000,50,15499
1587445200000,47,15500
1587531600000,44,15501
1587618000000,52,15502
1587704400000,39,15503
1587790800000,41,15504
1587877200000,50,15505
1587963600000,42,15506
1588050000000,54,15507
1588136400000,45,15508
1588222800000,51,15509
1588309200000,51,15510
1588395600000,30,15511
1588482000000,41,15512
1588568400000,62,15513
1588654800000,39,15514
1588741200000,50,15515
1588827600000,42,15516
1588914000000,34,15517
1589000400000,33,15518
1589086800000,38,15519
1589173200000,46,15520
1589259600000,43,15521
1589346000000,41,15522
1589432400000,46,15523
1589518800000,34,15524
1589605200000,37,15525
1589691600000,42,15526
1589778000000,23,15527
1589864400000,37,15528
1589950800000,39,15529
1590037200000,38,15530
1590123600000,37,15531
1590210000000,41,15532
1590296400000,36,15533
1590382800000,36,15534
1590469200000,24,15535
1590555600000,39,15536
1590642000000,41,15537
1590728400000,27,15538
1590814800000,37,15539
1590901200000,35,15540
1590987600000,32,15541
1591074000000,41,15542
1591160400000,41,15543
1591246800000,26,15544
1591333200000,32,15545
1591419600000,33,15546
1591506000000,30,15547
1591592400000,25,15548
1591678800000,33,15549
1591765200000,27,15550
1591851600000,31,15551
1591938000000,39,15552
1592024400000,25,15553
1592110800000,34,15554
1592197200000,30,15555
1592283600000,46,15556
1592370000000,32,15557
1592456400000,33,15558
1592542800000,28,15559
1592629200000,40,15560
1592715600000,36,15561
1592802000000,55,15562
1592888400000,60,15563
1592974800000,40,15564
1593061200000,54,15565
1593147600000,47,15566
1593234000000,53,15567
1593320400000,53,15568
1593406800000,51,15569
1593493200000,54,15570
1593579600000,71,15571
1593666000000,79,15572
1593752400000,75,15573
1593838800000,86,15574
1593925200000,79,15575
1594011600000,104,15576
1594098000000,108,15577
1594184400000,133,15578
1594270800000,128,15579
1594357200000,120,15580
1594443600000,143,15581
1594530000000,146,15582
1594616400000,166,15583
1594702800000,158,15584
1594789200000,173,15585
1594875600000,190,15586
1594962000000,185,15587
1595048400000,170,15588
1595134800000,194,15589
1595221200000,190,15590
1595307600000,191,15591
1595394000000,192,15592
1595480400000,203,15593
1595566800000,193,15594
1595653200000,196,15595
1595739600000,183,15596
1595826000000,166,15597
1595912400000,181,15598
1595998800000,176,15599
1596085200000,195,15600
1596171600000,194,15601
1596258000000,182,15602
1596344400000,165,15603
1596430800000,178,15604
1596517200000,192,15605
1596603600000,195,15606
1596690000000,164,15607
1596776400000,148,15608
1596862800000,128,15609
1596949200000,131,15610
1597035600000,147,15611
1597122000000,142,15612
1597208400000,134,15613
1597294800000,135,15614
1597381200000,114,15615
1597467600000,100,15616
1597554000000,77,15617
1597640400000,84,15618
1597726800000,73,15619
1597813200000,78,15620
1597899600000,73,15621
1597986000000,59,15622
1598072400000,57,15623
1598158800000,57,15624
1598245200000,47,15625
1598331600000,64,15626
1598418000000,64,15627
1598504400000,42,15628
1598590800000,47,15629
1598677200000,40,15630
1598763600000,32,15631
1598850000000,37,15632
1598936400000,31,15633
1599022800000,26,15634
1599109200000,29,15635
1599195600000,11,15636
1599282000000,9,15637
1599368400000,10,15638
1599454800000,4,15639
