Date,Deaths,ObjectId
1583384400000,1,23333
1583470800000,1,23334
1583816400000,1,23335
1584162000000,2,23336
1584248400000,1,23337
1584421200000,3,23338
1584507600000,1,23339
1584594000000,2,23340
1584680400000,2,23341
1584766800000,7,23342
1584853200000,3,23343
1584939600000,5,23344
1585026000000,14,23345
1585112400000,20,23346
1585198800000,13,23347
1585285200000,18,23348
1585371600000,12,23349
1585458000000,19,23350
1585544400000,22,23351
1585630800000,31,23352
1585717200000,31,23353
1585803600000,36,23354
1585890000000,30,23355
1585976400000,34,23356
1586062800000,43,23357
1586149200000,44,23358
1586235600000,44,23359
1586322000000,44,23360
1586408400000,39,23361
1586494800000,41,23362
1586581200000,41,23363
1586667600000,36,23364
1586754000000,45,23365
1586840400000,49,23366
1586926800000,42,23367
1587013200000,43,23368
1587099600000,56,23369
1587186000000,39,23370
1587272400000,51,23371
1587358800000,50,23372
1587445200000,47,23373
1587531600000,44,23374
1587618000000,52,23375
1587704400000,39,23376
1587790800000,41,23377
1587877200000,50,23378
1587963600000,42,23379
1588050000000,54,23380
1588136400000,45,23381
1588222800000,52,23382
1588309200000,51,23383
1588395600000,30,23384
1588482000000,41,23385
1588568400000,63,23386
1588654800000,39,23387
1588741200000,49,23388
1588827600000,42,23389
1588914000000,34,23390
1589000400000,32,23391
1589086800000,38,23392
1589173200000,45,23393
1589259600000,43,23394
1589346000000,39,23395
1589432400000,45,23396
1589518800000,34,23397
1589605200000,37,23398
1589691600000,42,23399
1589778000000,23,23400
1589864400000,38,23401
1589950800000,40,23402
1590037200000,38,23403
1590123600000,37,23404
1590210000000,41,23405
1590296400000,37,23406
1590382800000,36,23407
1590469200000,24,23408
1590555600000,41,23409
1590642000000,40,23410
1590728400000,27,23411
1590814800000,37,23412
1590901200000,35,23413
1590987600000,32,23414
1591074000000,41,23415
1591160400000,40,23416
1591246800000,25,23417
1591333200000,30,23418
1591419600000,33,23419
1591506000000,30,23420
1591592400000,25,23421
1591678800000,33,23422
1591765200000,26,23423
1591851600000,30,23424
1591938000000,38,23425
1592024400000,25,23426
1592110800000,32,23427
1592197200000,29,23428
1592283600000,46,23429
1592370000000,32,23430
1592456400000,33,23431
1592542800000,27,23432
1592629200000,40,23433
1592715600000,36,23434
1592802000000,55,23435
1592888400000,58,23436
1592974800000,40,23437
1593061200000,53,23438
1593147600000,46,23439
1593234000000,53,23440
1593320400000,53,23441
1593406800000,51,23442
1593493200000,51,23443
1593579600000,72,23444
1593666000000,79,23445
1593752400000,76,23446
1593838800000,88,23447
1593925200000,79,23448
1594011600000,106,23449
1594098000000,105,23450
1594184400000,137,23451
1594270800000,129,23452
1594357200000,121,23453
1594443600000,147,23454
1594530000000,151,23455
1594616400000,171,23456
1594702800000,164,23457
1594789200000,176,23458
1594875600000,200,23459
1594962000000,193,23460
1595048400000,179,23461
1595134800000,204,23462
1595221200000,202,23463
1595307600000,213,23464
1595394000000,201,23465
1595480400000,225,23466
1595566800000,225,23467
1595653200000,220,23468
1595739600000,210,23469
1595826000000,203,23470
1595912400000,224,23471
1595998800000,218,23472
1596085200000,234,23473
1596171600000,232,23474
1596258000000,224,23475
1596344400000,198,23476
1596430800000,217,23477
1596517200000,235,23478
1596603600000,228,23479
1596690000000,212,23480
1596776400000,205,23481
1596862800000,157,23482
1596949200000,171,23483
1597035600000,182,23484
1597122000000,182,23485
1597208400000,181,23486
1597294800000,174,23487
1597381200000,156,23488
1597467600000,170,23489
1597554000000,124,23490
1597640400000,130,23491
1597726800000,133,23492
1597813200000,151,23493
1597899600000,132,23494
1597986000000,133,23495
1598072400000,115,23496
1598158800000,105,23497
1598245200000,91,23498
1598331600000,114,23499
1598418000000,127,23500
1598504400000,91,23501
1598590800000,117,23502
1598677200000,93,23503
1598763600000,80,23504
1598850000000,93,23505
1598936400000,93,23506
1599022800000,88,23507
1599109200000,84,23508
1599195600000,95,23509
1599282000000,85,23510
1599368400000,92,23511
1599454800000,78,23512
1599541200000,69,23513
1599627600000,84,23514
1599714000000,65,23515
1599800400000,65,23516
1599886800000,44,23517
1599973200000,54,23518
1600059600000,64,23519
1600146000000,64,23520
1600232400000,57,23521
1600318800000,47,23522
1600405200000,50,23523
1600491600000,50,23524
1600578000000,40,23525
1600664400000,53,23526
1600750800000,57,23527
1600837200000,50,23528
1600923600000,35,23529
1601010000000,45,23530
1601096400000,42,23531
1601182800000,35,23532
1601269200000,31,23533
1601355600000,30,23534
1601442000000,27,23535
1601528400000,18,23536
1601614800000,27,23537
1601701200000,19,23538
1601787600000,25,23539
1601874000000,21,23540
1601960400000,26,23541
1602046800000,27,23542
1602133200000,17,23543
1602219600000,17,23544
1602306000000,9,23545
1602392400000,12,23546
1602478800000,8,23547
1602565200000,7,23548
1602651600000,2,23549
