Date,Deaths,ObjectId
1583384400000,1,1
1583470800000,1,2
1583816400000,1,3
1584162000000,2,4
1584248400000,1,5
1584421200000,3,6
1584507600000,1,7
1584594000000,2,8
1584680400000,2,9
1584766800000,7,10
1584853200000,4,11
1584939600000,5,12
1585026000000,13,13
1585112400000,20,14
1585198800000,13,15
1585285200000,19,16
1585371600000,12,17
1585458000000,19,18
1585544400000,22,19
1585630800000,31,20
1585717200000,31,21
1585803600000,35,22
1585890000000,30,23
1585976400000,36,24
1586062800000,40,25
1586149200000,45,26
1586235600000,43,27
1586322000000,41,28
1586408400000,36,29
1586494800000,37,30
1586581200000,33,31
1586667600000,34,32
1586754000000,41,33
1586840400000,43,34
1586926800000,37,35
1587013200000,40,36
1587099600000,41,37
1587186000000,29,38
1587272400000,41,39
1587358800000,38,40
1587445200000,26,41
