Date,Deaths,ObjectId
1609477200000,21,48507
1609563600000,26,48508
1609650000000,31,48509
1609736400000,20,48510
1609822800000,8,48511
1583384400000,1,48512
1583470800000,1,48513
1583816400000,1,48514
1584162000000,2,48515
1584248400000,1,48516
1584421200000,3,48517
1584507600000,1,48518
1584594000000,2,48519
1584680400000,2,48520
1584766800000,7,48521
1584853200000,3,48522
1584939600000,5,48523
1585026000000,14,48524
1585112400000,20,48525
1585198800000,13,48526
1585285200000,18,48527
1585371600000,12,48528
1585458000000,19,48529
1585544400000,22,48530
1585630800000,31,48531
1585717200000,31,48532
1585803600000,36,48533
1585890000000,30,48534
1585976400000,33,48535
1586062800000,43,48536
1586149200000,44,48537
1586235600000,44,48538
1586322000000,44,48539
1586408400000,39,48540
1586494800000,39,48541
1586581200000,41,48542
1586667600000,36,48543
1586754000000,45,48544
1586840400000,49,48545
1586926800000,41,48546
1587013200000,43,48547
1587099600000,56,48548
1587186000000,39,48549
1587272400000,51,48550
1587358800000,50,48551
1587445200000,47,48552
1587531600000,44,48553
1587618000000,52,48554
1587704400000,39,48555
1587790800000,41,48556
1587877200000,50,48557
1587963600000,43,48558
1588050000000,54,48559
1588136400000,45,48560
1588222800000,52,48561
1588309200000,51,48562
1588395600000,30,48563
1588482000000,41,48564
1588568400000,63,48565
1588654800000,39,48566
1588741200000,49,48567
1588827600000,43,48568
1588914000000,34,48569
1589000400000,32,48570
1589086800000,38,48571
1589173200000,45,48572
1589259600000,43,48573
1589346000000,39,48574
1589432400000,45,48575
1589518800000,34,48576
1589605200000,37,48577
1589691600000,42,48578
1589778000000,24,48579
1589864400000,38,48580
1589950800000,40,48581
1590037200000,38,48582
1590123600000,38,48583
1590210000000,41,48584
1590296400000,37,48585
1590382800000,36,48586
1590469200000,24,48587
1590555600000,41,48588
1590642000000,40,48589
1590728400000,29,48590
1590814800000,37,48591
1590901200000,35,48592
1590987600000,32,48593
1591074000000,41,48594
1591160400000,40,48595
1591246800000,25,48596
1591333200000,30,48597
1591419600000,33,48598
1591506000000,30,48599
1591592400000,25,48600
1591678800000,32,48601
1591765200000,28,48602
1591851600000,31,48603
1591938000000,38,48604
1592024400000,26,48605
1592110800000,32,48606
1592197200000,31,48607
1592283600000,47,48608
1592370000000,31,48609
1592456400000,32,48610
1592542800000,27,48611
1592629200000,41,48612
1592715600000,37,48613
1592802000000,56,48614
1592888400000,58,48615
1592974800000,41,48616
1593061200000,52,48617
1593147600000,46,48618
1593234000000,53,48619
1593320400000,53,48620
1593406800000,51,48621
1593493200000,53,48622
1593579600000,72,48623
1593666000000,79,48624
1593752400000,77,48625
1593838800000,88,48626
1593925200000,79,48627
1594011600000,108,48628
1594098000000,105,48629
1594184400000,136,48630
1594270800000,129,48631
1594357200000,124,48632
1594443600000,147,48633
1594530000000,153,48634
1594616400000,171,48635
1594702800000,163,48636
1594789200000,177,48637
1594875600000,200,48638
1594962000000,194,48639
1595048400000,181,48640
1595134800000,204,48641
1595221200000,205,48642
1595307600000,216,48643
1595394000000,202,48644
1595480400000,224,48645
1595566800000,228,48646
1595653200000,223,48647
1595739600000,214,48648
1595826000000,206,48649
1595912400000,225,48650
1595998800000,223,48651
1596085200000,234,48652
1596171600000,235,48653
1596258000000,228,48654
1596344400000,199,48655
1596430800000,221,48656
1596517200000,239,48657
1596603600000,232,48658
1596690000000,216,48659
1596776400000,211,48660
1596862800000,161,48661
1596949200000,174,48662
1597035600000,184,48663
1597122000000,190,48664
1597208400000,184,48665
1597294800000,180,48666
1597381200000,164,48667
1597467600000,183,48668
1597554000000,133,48669
1597640400000,150,48670
1597726800000,158,48671
1597813200000,168,48672
1597899600000,154,48673
1597986000000,162,48674
1598072400000,131,48675
1598158800000,120,48676
1598245200000,108,48677
1598331600000,123,48678
1598418000000,143,48679
1598504400000,108,48680
1598590800000,130,48681
1598677200000,112,48682
1598763600000,94,48683
1598850000000,109,48684
1598936400000,102,48685
1599022800000,104,48686
1599109200000,89,48687
1599195600000,105,48688
1599282000000,98,48689
1599368400000,105,48690
1599454800000,89,48691
1599541200000,79,48692
1599627600000,94,48693
1599714000000,73,48694
1599800400000,80,48695
1599886800000,51,48696
1599973200000,66,48697
1600059600000,68,48698
1600146000000,78,48699
1600232400000,67,48700
1600318800000,59,48701
1600405200000,62,48702
1600491600000,69,48703
1600578000000,63,48704
1600664400000,73,48705
1600750800000,72,48706
1600837200000,72,48707
