Date,Deaths,ObjectId
1583384400000,1,33796
1583470800000,1,33797
1583816400000,1,33798
1584162000000,2,33799
1584248400000,1,33800
1584421200000,3,33801
1584507600000,1,33802
1584594000000,2,33803
1584680400000,2,33804
1584766800000,7,33805
1584853200000,3,33806
1584939600000,5,33807
1585026000000,14,33808
1585112400000,20,33809
1585198800000,13,33810
1585285200000,18,33811
1585371600000,12,33812
1585458000000,19,33813
1585544400000,22,33814
1585630800000,31,33815
1585717200000,31,33816
1585803600000,36,33817
1585890000000,30,33818
1585976400000,34,33819
1586062800000,43,33820
1586149200000,44,33821
1586235600000,44,33822
1586322000000,44,33823
1586408400000,39,33824
1586494800000,40,33825
1586581200000,41,33826
1586667600000,36,33827
1586754000000,45,33828
1586840400000,49,33829
1586926800000,42,33830
1587013200000,43,33831
1587099600000,56,33832
1587186000000,39,33833
1587272400000,51,33834
1587358800000,50,33835
1587445200000,47,33836
1587531600000,44,33837
1587618000000,52,33838
1587704400000,39,33839
1587790800000,41,33840
1587877200000,50,33841
1587963600000,42,33842
1588050000000,54,33843
1588136400000,45,33844
1588222800000,52,33845
1588309200000,51,33846
1588395600000,30,33847
1588482000000,41,33848
1588568400000,63,33849
1588654800000,39,33850
1588741200000,49,33851
1588827600000,42,33852
1588914000000,34,33853
1589000400000,32,33854
1589086800000,38,33855
1589173200000,45,33856
1589259600000,43,33857
1589346000000,39,33858
1589432400000,45,33859
1589518800000,34,33860
1589605200000,37,33861
1589691600000,42,33862
1589778000000,24,33863
1589864400000,38,33864
1589950800000,40,33865
1590037200000,38,33866
1590123600000,38,33867
1590210000000,41,33868
1590296400000,37,33869
1590382800000,36,33870
1590469200000,24,33871
1590555600000,41,33872
1590642000000,40,33873
1590728400000,29,33874
1590814800000,37,33875
1590901200000,35,33876
1590987600000,32,33877
1591074000000,41,33878
1591160400000,40,33879
1591246800000,25,33880
1591333200000,30,33881
1591419600000,33,33882
1591506000000,30,33883
1591592400000,25,33884
1591678800000,32,33885
1591765200000,28,33886
1591851600000,31,33887
1591938000000,38,33888
1592024400000,26,33889
1592110800000,32,33890
1592197200000,31,33891
1592283600000,47,33892
1592370000000,31,33893
1592456400000,33,33894
1592542800000,27,33895
1592629200000,41,33896
1592715600000,37,33897
1592802000000,56,33898
1592888400000,58,33899
1592974800000,41,33900
1593061200000,52,33901
1593147600000,46,33902
1593234000000,53,33903
1593320400000,53,33904
1593406800000,51,33905
1593493200000,52,33906
1593579600000,72,33907
1593666000000,79,33908
1593752400000,77,33909
1593838800000,88,33910
1593925200000,79,33911
1594011600000,106,33912
1594098000000,105,33913
1594184400000,137,33914
1594270800000,129,33915
1594357200000,124,33916
1594443600000,147,33917
1594530000000,151,33918
1594616400000,170,33919
1594702800000,163,33920
1594789200000,176,33921
1594875600000,200,33922
1594962000000,194,33923
1595048400000,181,33924
1595134800000,204,33925
1595221200000,204,33926
1595307600000,213,33927
1595394000000,202,33928
1595480400000,225,33929
1595566800000,227,33930
1595653200000,221,33931
1595739600000,212,33932
1595826000000,203,33933
1595912400000,223,33934
1595998800000,221,33935
1596085200000,235,33936
1596171600000,234,33937
1596258000000,226,33938
1596344400000,197,33939
1596430800000,218,33940
1596517200000,237,33941
1596603600000,231,33942
1596690000000,214,33943
1596776400000,208,33944
1596862800000,159,33945
1596949200000,172,33946
1597035600000,183,33947
1597122000000,189,33948
1597208400000,180,33949
1597294800000,178,33950
1597381200000,159,33951
1597467600000,175,33952
1597554000000,130,33953
1597640400000,137,33954
1597726800000,150,33955
1597813200000,158,33956
1597899600000,142,33957
1597986000000,146,33958
1598072400000,119,33959
1598158800000,112,33960
1598245200000,92,33961
1598331600000,119,33962
1598418000000,130,33963
1598504400000,92,33964
1598590800000,119,33965
1598677200000,99,33966
1598763600000,84,33967
1598850000000,95,33968
1598936400000,97,33969
1599022800000,89,33970
1599109200000,87,33971
1599195600000,98,33972
1599282000000,84,33973
1599368400000,97,33974
1599454800000,83,33975
1599541200000,72,33976
1599627600000,85,33977
1599714000000,67,33978
1599800400000,74,33979
1599886800000,45,33980
1599973200000,60,33981
1600059600000,63,33982
1600146000000,67,33983
1600232400000,62,33984
1600318800000,48,33985
1600405200000,54,33986
1600491600000,57,33987
1600578000000,51,33988
1600664400000,61,33989
1600750800000,63,33990
1600837200000,65,33991
1600923600000,44,33992
1601010000000,66,33993
1601096400000,58,33994
1601182800000,47,33995
1601269200000,43,33996
1601355600000,48,33997
1601442000000,40,33998
1601528400000,51,33999
1601614800000,62,34000
1601701200000,42,34001
1601787600000,49,34002
1601874000000,40,34003
1601960400000,61,34004
1602046800000,74,34005
1602133200000,44,34006
1602219600000,45,34007
1602306000000,51,34008
1602392400000,56,34009
1602478800000,44,34010
1602565200000,41,34011
1602651600000,51,34012
1602738000000,46,34013
1602824400000,55,34014
1602910800000,66,34015
1602997200000,59,34016
1603083600000,41,34017
1603170000000,49,34018
1603256400000,45,34019
1603342800000,37,34020
1603429200000,44,34021
1603515600000,31,34022
1603602000000,46,34023
1603688400000,39,34024
1603774800000,40,34025
1603861200000,36,34026
1603947600000,46,34027
1604034000000,39,34028
1604120400000,43,34029
1604206800000,29,34030
1604293200000,34,34031
1604379600000,31,34032
1604466000000,33,34033
1604552400000,27,34034
1604638800000,34,34035
1604725200000,38,34036
1604811600000,29,34037
1604898000000,23,34038
1604984400000,22,34039
1605070800000,24,34040
1605157200000,13,34041
1605243600000,21,34042
1605330000000,14,34043
1605416400000,11,34044
1605502800000,7,34045
1605589200000,5,34046
1605675600000,1,34047
