Date,Deaths,ObjectId
1583384400000,1,28266
1583470800000,1,28267
1583816400000,1,28268
1584162000000,2,28269
1584248400000,1,28270
1584421200000,3,28271
1584507600000,1,28272
1584594000000,2,28273
1584680400000,2,28274
1584766800000,7,28275
1584853200000,3,28276
1584939600000,5,28277
1585026000000,14,28278
1585112400000,20,28279
1585198800000,13,28280
1585285200000,18,28281
1585371600000,12,28282
1585458000000,19,28283
1585544400000,22,28284
1585630800000,31,28285
1585717200000,31,28286
1585803600000,36,28287
1585890000000,30,28288
1585976400000,34,28289
1586062800000,43,28290
1586149200000,44,28291
1586235600000,44,28292
1586322000000,44,28293
1586408400000,39,28294
1586494800000,40,28295
1586581200000,41,28296
1586667600000,36,28297
1586754000000,45,28298
1586840400000,49,28299
1586926800000,42,28300
1587013200000,43,28301
1587099600000,56,28302
1587186000000,39,28303
1587272400000,51,28304
1587358800000,50,28305
1587445200000,47,28306
1587531600000,44,28307
1587618000000,52,28308
1587704400000,39,28309
1587790800000,41,28310
1587877200000,50,28311
1587963600000,42,28312
1588050000000,54,28313
1588136400000,45,28314
1588222800000,52,28315
1588309200000,51,28316
1588395600000,30,28317
1588482000000,41,28318
1588568400000,63,28319
1588654800000,39,28320
1588741200000,49,28321
1588827600000,42,28322
1588914000000,34,28323
1589000400000,32,28324
1589086800000,38,28325
1589173200000,45,28326
1589259600000,43,28327
1589346000000,39,28328
1589432400000,45,28329
1589518800000,34,28330
1589605200000,37,28331
1589691600000,42,28332
1589778000000,24,28333
1589864400000,38,28334
1589950800000,40,28335
1590037200000,38,28336
1590123600000,38,28337
1590210000000,41,28338
1590296400000,37,28339
1590382800000,36,28340
1590469200000,24,28341
1590555600000,41,28342
1590642000000,40,28343
1590728400000,29,28344
1590814800000,37,28345
1590901200000,35,28346
1590987600000,32,28347
1591074000000,41,28348
1591160400000,40,28349
1591246800000,25,28350
1591333200000,30,28351
1591419600000,33,28352
1591506000000,30,28353
1591592400000,25,28354
1591678800000,32,28355
1591765200000,28,28356
1591851600000,31,28357
1591938000000,38,28358
1592024400000,26,28359
1592110800000,32,28360
1592197200000,31,28361
1592283600000,46,28362
1592370000000,32,28363
1592456400000,33,28364
1592542800000,27,28365
1592629200000,41,28366
1592715600000,37,28367
1592802000000,56,28368
1592888400000,58,28369
1592974800000,41,28370
1593061200000,52,28371
1593147600000,46,28372
1593234000000,53,28373
1593320400000,53,28374
1593406800000,51,28375
1593493200000,52,28376
1593579600000,72,28377
1593666000000,79,28378
1593752400000,77,28379
1593838800000,88,28380
1593925200000,79,28381
1594011600000,106,28382
1594098000000,105,28383
1594184400000,137,28384
1594270800000,129,28385
1594357200000,124,28386
1594443600000,147,28387
1594530000000,151,28388
1594616400000,171,28389
1594702800000,164,28390
1594789200000,176,28391
1594875600000,200,28392
1594962000000,194,28393
1595048400000,180,28394
1595134800000,204,28395
1595221200000,203,28396
1595307600000,213,28397
1595394000000,201,28398
1595480400000,225,28399
1595566800000,226,28400
1595653200000,221,28401
1595739600000,211,28402
1595826000000,203,28403
1595912400000,223,28404
1595998800000,221,28405
1596085200000,235,28406
1596171600000,232,28407
1596258000000,224,28408
1596344400000,198,28409
1596430800000,217,28410
1596517200000,237,28411
1596603600000,230,28412
1596690000000,213,28413
1596776400000,206,28414
1596862800000,158,28415
1596949200000,171,28416
1597035600000,182,28417
1597122000000,187,28418
1597208400000,180,28419
1597294800000,178,28420
1597381200000,158,28421
1597467600000,174,28422
1597554000000,129,28423
1597640400000,137,28424
1597726800000,147,28425
1597813200000,158,28426
1597899600000,140,28427
1597986000000,144,28428
1598072400000,119,28429
1598158800000,112,28430
1598245200000,91,28431
1598331600000,117,28432
1598418000000,128,28433
1598504400000,92,28434
1598590800000,119,28435
1598677200000,98,28436
1598763600000,84,28437
1598850000000,95,28438
1598936400000,95,28439
1599022800000,89,28440
1599109200000,86,28441
1599195600000,97,28442
1599282000000,85,28443
1599368400000,95,28444
1599454800000,83,28445
1599541200000,72,28446
1599627600000,85,28447
1599714000000,66,28448
1599800400000,71,28449
1599886800000,45,28450
1599973200000,60,28451
1600059600000,63,28452
1600146000000,67,28453
1600232400000,59,28454
1600318800000,48,28455
1600405200000,54,28456
1600491600000,57,28457
1600578000000,49,28458
1600664400000,59,28459
1600750800000,62,28460
1600837200000,65,28461
1600923600000,44,28462
1601010000000,63,28463
1601096400000,56,28464
1601182800000,47,28465
1601269200000,42,28466
1601355600000,47,28467
1601442000000,40,28468
1601528400000,48,28469
1601614800000,52,28470
1601701200000,37,28471
1601787600000,46,28472
1601874000000,35,28473
1601960400000,52,28474
1602046800000,66,28475
1602133200000,37,28476
1602219600000,40,28477
1602306000000,38,28478
1602392400000,49,28479
1602478800000,36,28480
1602565200000,31,28481
1602651600000,40,28482
1602738000000,27,28483
1602824400000,34,28484
1602910800000,36,28485
1602997200000,37,28486
1603083600000,26,28487
1603170000000,22,28488
1603256400000,27,28489
1603342800000,19,28490
1603429200000,21,28491
1603515600000,8,28492
1603602000000,12,28493
1603688400000,15,28494
1603774800000,9,28495
1603861200000,11,28496
1603947600000,3,28497
