Date,Deaths,ObjectId
1583384400000,1,13884
1583470800000,1,13885
1583816400000,1,13886
1584162000000,2,13887
1584248400000,1,13888
1584421200000,3,13889
1584507600000,1,13890
1584594000000,2,13891
1584680400000,2,13892
1584766800000,7,13893
1584853200000,3,13894
1584939600000,5,13895
1585026000000,14,13896
1585112400000,20,13897
1585198800000,13,13898
1585285200000,18,13899
1585371600000,12,13900
1585458000000,19,13901
1585544400000,22,13902
1585630800000,31,13903
1585717200000,31,13904
1585803600000,35,13905
1585890000000,30,13906
1585976400000,35,13907
1586062800000,43,13908
1586149200000,44,13909
1586235600000,45,13910
1586322000000,43,13911
1586408400000,39,13912
1586494800000,41,13913
1586581200000,41,13914
1586667600000,36,13915
1586754000000,45,13916
1586840400000,49,13917
1586926800000,42,13918
1587013200000,43,13919
1587099600000,56,13920
1587186000000,39,13921
1587272400000,51,13922
1587358800000,50,13923
1587445200000,47,13924
1587531600000,44,13925
1587618000000,52,13926
1587704400000,39,13927
1587790800000,41,13928
1587877200000,50,13929
1587963600000,42,13930
1588050000000,54,13931
1588136400000,45,13932
1588222800000,51,13933
1588309200000,51,13934
1588395600000,30,13935
1588482000000,41,13936
1588568400000,62,13937
1588654800000,39,13938
1588741200000,50,13939
1588827600000,43,13940
1588914000000,34,13941
1589000400000,33,13942
1589086800000,38,13943
1589173200000,46,13944
1589259600000,43,13945
1589346000000,41,13946
1589432400000,46,13947
1589518800000,34,13948
1589605200000,37,13949
1589691600000,42,13950
1589778000000,23,13951
1589864400000,37,13952
1589950800000,39,13953
1590037200000,38,13954
1590123600000,37,13955
1590210000000,41,13956
1590296400000,36,13957
1590382800000,36,13958
1590469200000,24,13959
1590555600000,40,13960
1590642000000,41,13961
1590728400000,27,13962
1590814800000,37,13963
1590901200000,35,13964
1590987600000,32,13965
1591074000000,41,13966
1591160400000,41,13967
1591246800000,26,13968
1591333200000,32,13969
1591419600000,33,13970
1591506000000,30,13971
1591592400000,25,13972
1591678800000,33,13973
1591765200000,27,13974
1591851600000,31,13975
1591938000000,39,13976
1592024400000,25,13977
1592110800000,34,13978
1592197200000,30,13979
1592283600000,46,13980
1592370000000,32,13981
1592456400000,32,13982
1592542800000,28,13983
1592629200000,40,13984
1592715600000,36,13985
1592802000000,55,13986
1592888400000,60,13987
1592974800000,40,13988
1593061200000,54,13989
1593147600000,45,13990
1593234000000,53,13991
1593320400000,53,13992
1593406800000,50,13993
1593493200000,54,13994
1593579600000,71,13995
1593666000000,79,13996
1593752400000,75,13997
1593838800000,86,13998
1593925200000,78,13999
1594011600000,103,14000
1594098000000,108,14001
1594184400000,133,14002
1594270800000,128,14003
1594357200000,120,14004
1594443600000,141,14005
1594530000000,142,14006
1594616400000,165,14007
1594702800000,156,14008
1594789200000,169,14009
1594875600000,188,14010
1594962000000,181,14011
1595048400000,164,14012
1595134800000,190,14013
1595221200000,191,14014
1595307600000,184,14015
1595394000000,183,14016
1595480400000,193,14017
1595566800000,186,14018
1595653200000,191,14019
1595739600000,168,14020
1595826000000,162,14021
1595912400000,168,14022
1595998800000,168,14023
1596085200000,184,14024
1596171600000,176,14025
1596258000000,165,14026
1596344400000,150,14027
1596430800000,164,14028
1596517200000,181,14029
1596603600000,182,14030
1596690000000,154,14031
1596776400000,125,14032
1596862800000,112,14033
1596949200000,120,14034
1597035600000,129,14035
1597122000000,127,14036
1597208400000,122,14037
1597294800000,117,14038
1597381200000,101,14039
1597467600000,80,14040
1597554000000,57,14041
1597640400000,72,14042
1597726800000,66,14043
1597813200000,63,14044
1597899600000,56,14045
1597986000000,52,14046
1598072400000,52,14047
1598158800000,45,14048
1598245200000,35,14049
1598331600000,41,14050
1598418000000,37,14051
1598504400000,25,14052
1598590800000,14,14053
1598677200000,5,14054
