Date,Deaths,ObjectId
1583384400000,1,10067
1583470800000,1,10068
1583816400000,1,10069
1584162000000,2,10070
1584248400000,1,10071
1584421200000,3,10072
1584507600000,1,10073
1584594000000,2,10074
1584680400000,2,10075
1584766800000,7,10076
1584853200000,3,10077
1584939600000,5,10078
1585026000000,14,10079
1585112400000,20,10080
1585198800000,13,10081
1585285200000,18,10082
1585371600000,12,10083
1585458000000,19,10084
1585544400000,22,10085
1585630800000,31,10086
1585717200000,31,10087
1585803600000,35,10088
1585890000000,30,10089
1585976400000,35,10090
1586062800000,43,10091
1586149200000,44,10092
1586235600000,45,10093
1586322000000,43,10094
1586408400000,39,10095
1586494800000,41,10096
1586581200000,41,10097
1586667600000,36,10098
1586754000000,45,10099
1586840400000,49,10100
1586926800000,42,10101
1587013200000,43,10102
1587099600000,56,10103
1587186000000,39,10104
1587272400000,51,10105
1587358800000,50,10106
1587445200000,47,10107
1587531600000,44,10108
1587618000000,52,10109
1587704400000,39,10110
1587790800000,41,10111
1587877200000,50,10112
1587963600000,42,10113
1588050000000,54,10114
1588136400000,45,10115
1588222800000,51,10116
1588309200000,51,10117
1588395600000,30,10118
1588482000000,41,10119
1588568400000,62,10120
1588654800000,39,10121
1588741200000,50,10122
1588827600000,43,10123
1588914000000,34,10124
1589000400000,33,10125
1589086800000,38,10126
1589173200000,46,10127
1589259600000,43,10128
1589346000000,41,10129
1589432400000,46,10130
1589518800000,35,10131
1589605200000,37,10132
1589691600000,42,10133
1589778000000,23,10134
1589864400000,37,10135
1589950800000,39,10136
1590037200000,38,10137
1590123600000,37,10138
1590210000000,41,10139
1590296400000,36,10140
1590382800000,36,10141
1590469200000,24,10142
1590555600000,40,10143
1590642000000,41,10144
1590728400000,27,10145
1590814800000,37,10146
1590901200000,35,10147
1590987600000,32,10148
1591074000000,41,10149
1591160400000,41,10150
1591246800000,26,10151
1591333200000,32,10152
1591419600000,33,10153
1591506000000,30,10154
1591592400000,25,10155
1591678800000,33,10156
1591765200000,27,10157
1591851600000,31,10158
1591938000000,38,10159
1592024400000,26,10160
1592110800000,34,10161
1592197200000,30,10162
1592283600000,46,10163
1592370000000,32,10164
1592456400000,31,10165
1592542800000,28,10166
1592629200000,39,10167
1592715600000,36,10168
1592802000000,54,10169
1592888400000,60,10170
1592974800000,40,10171
1593061200000,54,10172
1593147600000,45,10173
1593234000000,53,10174
1593320400000,52,10175
1593406800000,48,10176
1593493200000,53,10177
1593579600000,70,10178
1593666000000,77,10179
1593752400000,71,10180
1593838800000,83,10181
1593925200000,76,10182
1594011600000,100,10183
1594098000000,105,10184
1594184400000,126,10185
1594270800000,116,10186
1594357200000,107,10187
1594443600000,120,10188
1594530000000,131,10189
1594616400000,143,10190
1594702800000,126,10191
1594789200000,135,10192
1594875600000,152,10193
1594962000000,151,10194
1595048400000,123,10195
1595134800000,136,10196
1595221200000,142,10197
1595307600000,134,10198
1595394000000,131,10199
1595480400000,138,10200
1595566800000,134,10201
1595653200000,138,10202
1595739600000,133,10203
1595826000000,120,10204
1595912400000,111,10205
1595998800000,98,10206
1596085200000,104,10207
1596171600000,81,10208
1596258000000,87,10209
1596344400000,71,10210
1596430800000,70,10211
1596517200000,51,10212
1596603600000,23,10213
